"","mean","sd","2.5%","97.5%","n_eff","Rhat4"
"psi[28]",0.185639050867667,0.143575966144216,-0.08842772,0.46486765,4074.07768372202,0.999525809600428
"psi[29]",0.185298736284,0.143312758493321,-0.0882655875,0.464015625,4074.07855318138,0.999525811614992
"psi[30]",0.187685956838333,0.145159076098348,-0.0894028175,0.46999365,4074.07739590404,0.999525808844279
"psi[31]",0.187344211583667,0.14489475544651,-0.089239985,0.46913765,4074.0783737213,0.999525807476765
"psi[32]",0.187002697282667,0.14463062819995,-0.08907735,0.46828265,4074.07706919914,0.999525810275657
"psi[33]",0.188027956555,0.14542357394976,-0.0895656524999999,0.47085065,4074.07890111532,0.99952581086165
"psi[34]",0.187685956838333,0.145159076098348,-0.0894028175,0.46999365,4074.07739590404,0.999525808844279
"psi[35]",0.186661427137,0.14436668532422,-0.08891472,0.467428625,4074.07816257035,0.999525811045894
"psi[36]",0.185979592258667,0.143839340597839,-0.0885899525,0.465720625,4074.07837516717,0.999525809586286
"psi[37]",0.166940658333333,0.129114358847304,-0.079520895,0.418044375,4074.07773290526,0.999525810915545
"psi[38]",0.166613234333,0.128861121799406,-0.0793649624999999,0.417224375,4074.07633200724,0.999525809042516
"psi[39]",0.165959045971667,0.1283551591719,-0.0790533,0.41558635,4074.07953746432,0.999525811340062
"psi[40]",0.165959045971667,0.1283551591719,-0.0790533,0.41558635,4074.07953746432,0.999525811340062
"psi[41]",0.166286025823333,0.128608048625475,-0.0792090325,0.41640535,4074.07888739163,0.99952581072055
"psi[42]",0.165305755075667,0.127849893335359,-0.078742135,0.41395035,4074.07799381439,0.99952581206348
"psi[43]",0.165305755075667,0.127849893335359,-0.078742135,0.41395035,4074.07799381439,0.99952581206348
"psi[44]",0.165305755075667,0.127849893335359,-0.078742135,0.41395035,4074.07799381439,0.99952581206348
"psi[45]",0.165632286699333,0.128102436763375,-0.0788976675,0.41476835,4074.07851210955,0.999525809467762
"psi[46]",0.165632286699333,0.128102436763375,-0.0788976675,0.41476835,4074.07851210955,0.999525809467762
"psi[47]",0.165632286699333,0.128102436763375,-0.0788976675,0.41476835,4074.07851210955,0.999525809467762
"psi[48]",0.165305755075667,0.127849893335359,-0.078742135,0.41395035,4074.07799381439,0.99952581206348
"psi[49]",0.165959045971667,0.1283551591719,-0.0790533,0.41558635,4074.07953746432,0.999525811340062
"psi[50]",0.164979437275,0.127597512233165,-0.0785867025,0.413133325,4074.07838454812,0.999525809369945
"psi[51]",0.199801944623,0.154529747997042,-0.0951741025,0.500333825,4074.0783014028,0.999525808687795
"psi[52]",0.199801944623,0.154529747997042,-0.0951741025,0.500333825,4074.0783014028,0.999525808687795
"psi[53]",0.200854709812667,0.155343971588676,-0.095675605,0.502970825,4074.07886675787,0.999525809654002
"psi[54]",0.200854709812667,0.155343971588676,-0.095675605,0.502970825,4074.07886675787,0.999525809654002
"psi[55]",0.200854709812667,0.155343971588676,-0.095675605,0.502970825,4074.07886675787,0.999525809654002
"psi[56]",0.201909756138,0.156159970063609,-0.096178205,0.50561285,4074.07976585061,0.999525809001503
