"","mean","sd","2.5%","97.5%","n_eff","Rhat4"
"psi[52]",-0.628022599333333,0.0841453253806528,-0.7964241,-0.460724475,4769.67913705157,0.999545228496809
"psi[53]",-0.498138172466667,0.130666287159996,-0.746765975,-0.24724145,4714.45696362249,1.00000571756374
"psi[54]",-0.498138172466667,0.130666287159996,-0.746765975,-0.24724145,4714.45696362249,1.00000571756374
"psi[55]",-0.498138172466667,0.130666287159996,-0.746765975,-0.24724145,4714.45696362249,1.00000571756374
"psi[56]",-0.498138172466667,0.130666287159996,-0.746765975,-0.24724145,4714.45696362249,1.00000571756374
"psi[57]",-0.498138172466667,0.130666287159996,-0.746765975,-0.24724145,4714.45696362249,1.00000571756374
"psi[58]",-0.317576648333333,0.0431550728708321,-0.404244775,-0.233652,4721.47116485498,0.999528463493185
"psi[59]",-0.317576648333333,0.0431550728708321,-0.404244775,-0.233652,4721.47116485498,0.999528463493185
"psi[60]",-0.317576648333333,0.0431550728708321,-0.404244775,-0.233652,4721.47116485498,0.999528463493185
"psi[61]",-0.317576648333333,0.0431550728708321,-0.404244775,-0.233652,4721.47116485498,0.999528463493185
"psi[62]",-0.249667052,0.0332630183866512,-0.316017975,-0.18390085,4811.79598796033,0.999568052604009
"psi[63]",-0.249667052,0.0332630183866512,-0.316017975,-0.18390085,4811.79598796033,0.999568052604009
"psi[64]",-0.1205894485,0.0171179551603555,-0.154438425,-0.0878601025,4635.84158914658,0.999518476469723
"psi[65]",-0.1205894485,0.0171179551603555,-0.154438425,-0.0878601025,4635.84158914658,0.999518476469723
"psi[66]",-0.1205894485,0.0171179551603555,-0.154438425,-0.0878601025,4635.84158914658,0.999518476469723
"psi[67]",-0.1205894485,0.0171179551603555,-0.154438425,-0.0878601025,4635.84158914658,0.999518476469723
"psi[68]",-0.401082356,0.0631661340559729,-0.525187225,-0.27801265,4523.82869467528,0.999542844245823
"psi[69]",-0.415301562666667,0.0587937999623379,-0.5313794,-0.30336965,4640.00645819131,0.99951839336387
"psi[70]",-0.215126599162333,0.197589323843999,-0.610296525,0.181809425,4397.31964801579,0.9999134499283
"psi[71]",-0.215126599162333,0.197589323843999,-0.610296525,0.181809425,4397.31964801579,0.9999134499283
"psi[72]",-0.215126599162333,0.197589323843999,-0.610296525,0.181809425,4397.31964801579,0.9999134499283
"psi[73]",-1.91898897,0.255799332292404,-2.42953275,-1.41247175,4803.85389283179,0.999563061093539
"psi[74]",-1.91898897,0.255799332292404,-2.42953275,-1.41247175,4803.85389283179,0.999563061093539
"psi[75]",-1.10564534566667,0.185077843675817,-1.46367125,-0.739775925,4482.52022317519,0.999565303973352
"psi[76]",-1.10564534566667,0.185077843675817,-1.46367125,-0.739775925,4482.52022317519,0.999565303973352
"psi[77]",-0.639556267666667,0.0865479958838361,-0.8127252,-0.47053485,4733.29822494884,0.999531765334989
"psi[78]",-0.639556267666667,0.0865479958838361,-0.8127252,-0.47053485,4733.29822494884,0.999531765334989
