"anonymeID","weight_g","trip_length","tide_height","avg_tide_depth","tide_time","tide_start","tide_end"
"83275","2610",195,0.2,0.373517580568482,2020-10-20 12:45:00,-1.93333333333333,1.31666666666667
"198244","5690",195,0.2,0.373517580568482,2020-10-20 12:45:00,-1.93333333333333,1.31666666666667
"61153","720",195,0.2,0.373517580568482,2020-10-20 12:45:00,-1.93333333333333,1.31666666666667
"198856","2470",195,0.2,0.373517580568482,2020-10-20 12:45:00,-1.93333333333333,1.31666666666667
"12185","2980",195,0.2,0.373517580568482,2020-10-20 12:45:00,-1.93333333333333,1.31666666666667
"84993","4000",195,0.2,0.373517580568482,2020-10-20 12:45:00,-1.93333333333333,1.31666666666667
"91515","870",195,0.2,0.373517580568482,2020-10-20 12:45:00,-1.93333333333333,1.31666666666667
"61153","2090",171,0.09,0.220872797067944,2020-11-02 10:52:00,-1.25,1.6
"198244","960",171,0.09,0.220872797067944,2020-11-02 10:52:00,-1.25,1.6
"12185","1070",171,0.09,0.220872797067944,2020-11-02 10:52:00,-1.25,1.6
"193755","1030",171,0.09,0.220872797067944,2020-11-02 10:52:00,-1.25,1.6
"83275","1040",171,0.09,0.220872797067944,2020-11-02 10:52:00,-1.25,1.6
"61153","1260",122,-0.01,0.0942351464133714,2020-11-14 09:10:00,-0.566666666666667,1.46666666666667
"198856","4390",122,-0.01,0.0942351464133714,2020-11-14 09:10:00,-0.566666666666667,1.46666666666667
"83275","2690",122,-0.01,0.0942351464133714,2020-11-14 09:10:00,-0.566666666666667,1.46666666666667
"267566","1840",122,-0.01,0.0942351464133714,2020-11-14 09:10:00,-0.566666666666667,1.46666666666667
"12165","1370",122,-0.01,0.0942351464133714,2020-11-14 09:10:00,-0.566666666666667,1.46666666666667
"12185","2660",122,-0.01,0.0942351464133714,2020-11-14 09:10:00,-0.566666666666667,1.46666666666667
"83275","3000",185,-0.22,-0.0560776634349942,2020-11-15 09:50:00,-1.35,1.73333333333333
"61153","3180",185,-0.22,-0.0560776634349942,2020-11-15 09:50:00,-1.35,1.73333333333333
"193755","3860",185,-0.22,-0.0560776634349942,2020-11-15 09:50:00,-1.35,1.73333333333333
"12165","3080",185,-0.22,-0.0560776634349942,2020-11-15 09:50:00,-1.35,1.73333333333333
"12185","3530",185,-0.22,-0.0560776634349942,2020-11-15 09:50:00,-1.35,1.73333333333333
"91515","2330",185,-0.22,-0.0560776634349942,2020-11-15 09:50:00,-1.35,1.73333333333333
"198856","7580",186,-0.23,-0.0030267387125221,2020-11-17 11:09:00,-0.983333333333333,2.11666666666667
"61153","2980",186,-0.23,-0.0030267387125221,2020-11-17 11:09:00,-0.983333333333333,2.11666666666667
"193755","3640",186,-0.23,-0.0030267387125221,2020-11-17 11:09:00,-0.983333333333333,2.11666666666667
"69990","3820",186,-0.23,-0.0030267387125221,2020-11-17 11:09:00,-0.983333333333333,2.11666666666667
"12165","1200",186,-0.23,-0.0030267387125221,2020-11-17 11:09:00,-0.983333333333333,2.11666666666667
"12185","3740",186,-0.23,-0.0030267387125221,2020-11-17 11:09:00,-0.983333333333333,2.11666666666667
"198244","8000",186,-0.23,-0.0030267387125221,2020-11-17 11:09:00,-0.983333333333333,2.11666666666667
